ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10
reference_13,3.26638866086702,3.495857663514585,3.311547629925675,3.405521568511328,3.5033004438375164,3.1933693889333465,3.7565700230371784,3.5207286209208264,3.314960592252593,3.4133924590298936,3.2715066351376905
reference_14,3.263083354766133,3.482278178036716,2.9631877586697386,3.3595484324032587,3.5604472258746647,2.6124336691089143,3.2620903874560705,3.5396296120226514,3.066933905839676,2.407729615798076,3.30697097804454
reference_15,3.4729978698371062,3.748242772847938,3.45915380226357,3.6038574235332836,3.751067729834503,3.1930040260456427,3.855245394335797,3.721781668743469,3.3234775984940477,3.280213994234027,3.501721628780045
reference_16,3.2945810586167172,3.568617417555206,3.33536885156947,3.372675428289262,3.543618600462666,2.9325541664656884,3.537299554659017,3.534055384896953,3.165079534568958,2.9844342138512494,3.308630277061836
reference_17,3.196877653669658,3.5597831110008573,3.2444221825294925,3.35618939299616,3.5314237699638427,2.972332772966813,3.502433735171846,3.4769048877316533,3.191620547580607,3.068815125563129,3.3078785743899255
reference_18,3.3491079182239054,3.6324199110735527,3.083523241437912,3.447016772530175,3.6921420862503056,2.9760932661296136,3.379200992119027,3.6701918769172672,3.0604883207223663,2.8962788042541514,3.4280758567873266
reference_19,3.43092742876451,3.742370649435548,3.5717699144034016,3.564478215623031,3.608209812071653,3.3383870673106424,3.842394815777162,3.604267852473677,3.5887154483321377,3.6815802467253693,3.4611822886339345
reference_20,2.909867036603481,3.046465142696138,3.3126062521636968,3.329604777685187,3.4794198392577855,3.1149160302532066,3.6520113787214945,3.527985093979493,3.108199511663062,3.181886344807644,3.2788189185351833
reference_21,2.8779533508694177,3.406383784368855,3.360675903678298,3.2232771907222273,3.305013045973778,3.393175262963891,3.623208955762446,3.4034839404603,3.2907014529790874,3.473382028788805,3.147250855632138
reference_22,3.117097618969009,3.1119818704514643,2.9885673910578134,3.334380657216481,3.416542965193385,2.933721626754371,3.3209683578438236,3.4131306664346615,2.9757227296010336,3.0828457911723253,2.9221770857213274
reference_23,3.0589105696429018,3.6110790152906933,3.565269642014086,3.2030771571254495,2.8272054686335326,3.5743668854436277,3.8092494415014984,2.6793474550417904,3.5048650969168547,3.679945461722231,3.3572604552793957
reference_24,3.33826029028054,3.5372996543459276,3.5479399516031145,3.378106751351694,3.5880965525437185,3.611476014831535,3.8232556191840494,3.691327468953974,3.3758907052762313,3.657582871630332,3.3392781662074587
reference_25,3.1938614711110525,3.513146639400335,3.385655129203804,3.4254360588724255,3.4366715430700308,3.1926310732816394,3.66809756571047,3.69298407229269,3.260070164883492,3.3141180953891256,3.289618045289377
reference_26,2.9206404583061767,3.2525253947288286,3.186675967259464,2.987706892792586,3.2725201587776236,3.305644684131804,3.4859362936814478,3.3521737241460525,3.117501770059177,3.319003892806859,3.113786257302777
reference_27,3.1123923758314587,3.348352377786523,3.2472490358410964,2.791656035378439,3.2699820716587444,3.381672270777727,3.608516387222224,3.2092394145146623,3.0934007881719228,3.498574641718178,3.171421043780753
reference_28,2.9908289964233403,3.5393184925886425,3.337921559041739,3.2990280614836696,3.4771886503353118,2.294036777971983,3.5208333357270956,3.6051573784764765,3.202045258301973,2.300463361335993,3.200651982089733
reference_29,3.2010931828124396,3.5382972612814716,3.1066831322629915,3.420959092903991,3.60081977518625,2.59099176353776,3.4012497526980097,3.5994033757548887,3.2206769247944864,2.4130515134737234,3.419756356245014
reference_30,3.070045145717681,3.4275912847320815,2.852277810538888,3.207001971605313,3.3897193333681224,2.860571941572428,3.228752698922753,3.4646597922083977,3.186692787465334,2.916682660436511,3.220575440066155
reference_31,3.028734679958076,3.0832702460275274,3.476871343180607,3.4052398182574395,3.533976485561989,3.493982071074458,3.7558319440813155,3.330438569231496,3.366220506586611,3.4612245934681183,3.326093426032762
reference_32,3.2948135817057618,3.6083324045522076,3.127023194214795,3.4477471571169276,3.57494983616044,2.7644275624239336,3.2923973484126785,3.0911792969571823,3.3890296194700786,2.3463578441968918,3.3062153732676056
reference_33,3.257354778207398,3.3423144162492107,3.1606567746865752,3.1636427859230873,3.1473898345561024,2.1991094663085935,3.617624047835469,3.102050172488427,3.132100301178217,2.4193428041529415,3.173199211993621
reference_34,3.0763251356561825,3.3065725707088682,3.0313543490887267,3.2203608659912923,3.3713792901383757,2.868158161424342,3.3541440420215167,3.427905992327752,3.123195631553294,2.5401755961631425,3.0939363446075685
reference_35,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_36,3.5260109562427524,3.8403551038056665,3.5583029114039304,3.660790412052154,3.8437106765815736,3.361077712629151,3.615983986184549,3.715949509671211,3.6025341021247685,3.3661945304198264,3.6111958392520997
reference_37,3.1463284976704484,3.4669685398316745,3.3432561642026934,3.1481125992785652,3.4093961824153274,2.5227725843888638,3.686378738344357,3.4627335735091247,3.293047257494138,2.9221433738183977,3.1088048699601276
reference_38,2.8773423136725547,3.363073637370743,3.200735489724983,3.326805361644118,3.4864509926590053,2.844836983791178,3.4486321915316105,3.4614914237229617,3.033473296822095,3.0361967354146695,3.1549124792041003
reference_39,2.8920689447358456,3.4302832973500044,3.2671043009845313,3.324014109485425,3.481003636353405,2.9288994072903693,3.4678587974968935,3.517409463972278,3.096983415798549,3.137911325805431,3.2407444130205723
reference_40,2.9473888424374315,3.4077179957053305,3.356166002447425,3.090930115967446,2.692161137675242,3.4378665813205456,3.6650575277882482,2.9445463270212415,3.26731199807138,3.526874819267003,3.1705620585894594
reference_41,3.2482074625246313,3.6596808069014215,3.4407235373482266,3.512091649076288,3.5963050453602414,3.382321394111573,3.705402255485849,3.5912023463826985,3.306737269175615,3.3242796487739943,3.414991968932362
reference_42,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_43,3.106855029317953,3.346100428858457,3.0450410790851725,3.227391226604463,3.4441352276294963,2.984680005659296,3.2752776442032356,3.423113252458574,2.9663137400809423,2.9634214033395305,3.185546128047548
reference_44,3.250050812574792,3.876225651122529,3.6880122413766387,3.722682274478531,3.74142671734941,3.588891523027599,3.79502472026062,3.7950401752822995,3.6628448864641188,3.330601477295947,3.590583235007144
reference_45,3.324166955023282,3.603062646144534,3.4238947686408605,3.4429579493026234,3.613519423094109,3.5057508826519763,3.699850623255263,3.6069150336479336,3.0526436982066505,3.523846717094846,3.3815793492373185
reference_46,3.1786736720038142,3.329366966956595,3.408504286415555,3.4680711841068725,3.466471388027351,3.4292089192471,3.7014400099655282,3.624845352017149,3.3505568098266827,3.4666999628215067,3.2699739088074025
reference_47,3.1718064502280656,3.5366125356298523,3.147951465888888,3.3796216467933533,3.5557170604417023,3.182582229722828,3.3763382942008975,3.3776355682730377,3.268950943704605,3.258152195551467,3.327016484152802
reference_48,3.2641287127910417,3.1700326808838675,3.3815917731839127,3.161589941828432,3.0472745440540967,3.517221973007504,3.6753388654803523,3.182526257181492,3.3470791691449,3.5234589924558684,3.2117669983101966
reference_49,3.0741637919111255,3.259015244066625,3.5451293566342588,3.1786000044908524,3.0087187433052063,3.5734113629052042,3.8274099447244407,3.1406817791204453,3.309030993119246,3.615703375286341,3.405303899790647
reference_50,3.5878299850363344,3.7030397149172254,3.6313995924066345,3.5908455673218604,3.638051815860551,3.719529133178935,3.9387353140238357,3.5934595563534577,3.619927034359819,3.7399857820719493,3.483506906507926
reference_51,3.223146979482246,3.452073566820875,3.432671085252285,2.964132043311477,2.6189311771445274,3.1028679771351815,3.7171861823771,2.8682028876544474,3.3524887646667363,3.579596491138172,3.1773845322752616
reference_52,3.0773758753639924,3.276625408912671,3.4853892072789137,3.4348295150306485,3.5219999969002918,3.520677192003205,3.7625755576339217,3.6060231505453793,3.4065390617087625,3.5252663416021806,3.355050348428636
reference_53,3.0497245009142766,3.4474497138758,2.995336422390054,3.086354989507064,3.2304552988304223,3.000794626790129,3.297629949330091,2.917966112887229,2.9108262582573667,2.898916633774253,3.1632695055225883
reference_54,3.4177506705352005,3.6843732973108305,3.407729135493783,3.507320613365882,3.675838214222789,3.403211788853397,3.6792656501218945,3.668790184815983,3.372715949259176,3.4143269894685657,3.36840866906525
reference_55,3.5120033106242214,3.850048980322682,3.702999628976655,3.690168104393843,3.7093074914881936,3.4533650461996555,3.735692129375643,3.5150003779646175,3.6621783642599572,3.8290266317161783,3.572179548274122
reference_56,3.2215575786965664,3.7121000736163454,3.578543565916895,3.418470945477874,3.3210084238879203,3.5717133854310865,3.797365262232175,3.2308078897931365,3.2044115393670833,3.599713057544403,3.4771916665779337
reference_57,3.115387515517611,3.4150646498066917,2.895391298602489,3.261319208958707,3.4664239927660354,3.2933141750141925,3.1701466324804994,3.4035969163883752,3.107964454541217,3.042495452115659,3.1350360778002346
reference_58,3.281978289704357,3.64180746854554,3.538325384293296,3.426349090997574,3.6067693967307175,3.6029631391952233,3.7142638414169546,3.1472348964846617,3.4724156511134905,3.660966848744982,3.3853102762323655
reference_59,3.2733031646279698,3.542400357077483,3.4697920241822007,3.3504960441999434,3.5022523815290927,3.1350794523975254,3.8007926089316006,3.5285600662591814,3.4206992349410057,3.502237719003761,3.259402201731509
reference_60,2.6180938703678494,3.3983986191076214,3.4234444816837315,3.021826858254242,2.667408765250504,3.406562986008763,3.61126988527298,2.9085282710071567,3.264122710990846,3.48247441664257,3.160812750521265
reference_61,3.04792903265487,3.3137613159400425,3.1695538924111424,3.2460863739469055,3.363268850165248,3.3259532324435117,3.5444141496534347,3.396834240009499,3.0863572059181332,3.3811094976872207,3.0566091159347706
reference_62,3.28507171918664,3.4022770471087886,3.4347205861937997,3.3819180537996294,3.439777978026271,3.4766405620315073,3.8226525967621803,3.577841781486511,3.4205056101585027,3.591673623097229,3.3722318914265834
reference_63,3.053441836590093,3.3836848170208245,3.249483565806158,3.179217931988322,3.2432671178807966,2.8150771890184427,3.5649043339112696,3.246016513770367,3.212911704208119,3.3826178545073704,3.09287068412025
reference_64,3.5233916695588117,3.7253613408041755,3.5365409350250716,3.6955713046337126,3.743709591183281,3.511909814082623,3.7867609506869315,3.6606255344201086,3.489058365443462,3.533962504477978,3.5536690368130293
reference_65,2.9741232155525927,3.503886160537094,3.3677918550872206,3.245686949472916,3.138188105969429,2.8431002949308155,3.640337672265172,3.1875480350405816,3.3135204426535965,3.3993130802307845,3.2633373922490336
reference_66,3.2396744824767585,3.4481308648820423,3.2994259257832,3.377871305521266,3.5453680248414696,3.3633329661602183,3.5244861232219975,2.991415430975692,3.31221318745086,3.454610484564278,3.308400571329954
reference_67,3.2466220036649296,3.5259392933159233,3.033609008813051,3.361192883628532,3.5541008328130257,2.8720339336433165,3.2857670330081787,3.44110049699624,3.297267028284161,2.59801904933956,3.315279675585464
reference_68,3.345695041815296,3.281942719776001,3.052663147520628,3.5326536864965923,3.644947227099898,3.4400269662758305,3.1582936260466137,3.4523026834381234,3.388517492182684,3.1022410730334906,3.4232788027822076
reference_69,3.295782258141219,3.6396995446798925,3.19593017984725,3.5350758632703654,3.708172199927685,3.4990019807790858,3.1467303385523886,3.7402202451232323,3.4993067197940744,3.2914006616216516,3.535032600837449
reference_70,3.54794514140606,3.4389008777161547,3.7086204330103993,3.7271506679384707,3.850069278316498,3.1900167760338785,4.0402864904233216,3.896272103185892,3.724271385884285,3.3590913917845486,3.534185877599596
reference_71,3.1416727294107574,3.6438572046847004,3.214948745055791,3.4720366188119476,3.4805347349361426,3.2671039617167947,3.6438348952266484,3.4822255962557462,3.2319725079575,3.0393704765176275,3.4549873547664705
reference_72,3.7515968562950137,3.9302237618690326,3.761680755611229,3.862572088393879,3.94611571173563,3.824224887065828,4.118298771242928,3.931168683459759,3.823121599558425,3.8245934182031633,3.7464752557719185
reference_73,3.497691423927105,3.6819860724066413,3.208366959556103,3.676538198643267,3.8258622494541403,3.4941590610995292,3.463956500215769,3.799992854831493,3.549193253737092,3.202723798812783,3.623739147415918
reference_74,3.265554864696321,3.5736463565116536,3.496789849491851,3.486054231947557,3.5972721155949756,3.4985880762081463,3.8194344225909846,3.6295841331539433,3.41464054659067,3.634082749723196,3.300641729339219
reference_75,3.347821169567586,3.6059118223695354,3.3668502756716197,3.5481649334384135,3.6582218210684116,3.2887353652147064,3.708056156817475,3.663020037355135,3.3531522089967525,3.5128767840286175,3.3602788852092975
reference_76,2.555405356626572,3.3545007148868375,3.3176012553028835,3.1961954837284843,2.808922027426892,3.282042684409161,3.5555272362859003,3.2378591519770015,3.2085113781101553,3.3454112800835225,3.139137210766261
reference_77,3.057624006502395,3.651871224889068,3.3187338120654553,3.43905234422658,3.5468818017150268,2.9412930203358973,3.711816645813769,3.543257891194986,3.215315301316492,3.234296856535844,3.3290448125776417
reference_78,2.834320112589312,3.3341678640758814,3.1663258897602558,3.0507871766719696,3.066311490128875,2.915172644854546,3.4310600276239516,3.086001601370621,2.9706810916100443,3.0166084102467536,3.16127858378004
reference_79,2.8066049454543798,3.3285701658350284,3.19041612823789,3.313653120788097,3.448575327812094,3.1134718718454613,3.479537635896159,3.5145400215719436,2.9924778790168065,3.1375387479241925,3.183230185639318
reference_80,3.459197476168634,3.7032895525933514,3.503373917430209,3.565276371383865,3.582872635509729,3.6044806861292513,3.916775990243521,3.7264320461193834,3.463625124174636,3.687891576354419,3.3822584240056996
reference_81,3.1968872541422924,3.0460252860519335,2.9843214358133383,3.149750676572862,3.027086768627117,3.123772441132626,3.6898084257223585,3.025218207929115,3.2546096128879265,3.4276556655055246,3.2027118077378534
reference_82,3.1072615612285617,3.0857159186671805,3.577697783915806,3.5431488835269924,3.6068944137532952,3.607740096921968,3.7783784411798718,3.6832272903654104,3.5423556221514105,3.7279035049915312,3.500449768307318
reference_83,3.139440713598537,3.353518947476133,3.347524526569498,2.9386587268322475,3.346675884096027,3.4333749906259423,3.622721457149506,3.349723600653792,3.2300444764095784,3.5239940608144287,3.230135220364422
reference_84,3.30531092940383,3.6429275386479505,3.4941872364127637,3.288567803516674,3.598982192118287,3.5442122184136506,3.686853687233329,3.643884676062441,3.491078621189654,3.574780195441246,3.4002281144864672
reference_85,3.1627257209986515,3.332485971797654,3.371123332548594,3.334573280195956,3.515466414557037,3.4329378758112252,3.5780946946699483,3.231587592614591,3.301260428731624,3.4808515923068803,3.338944874348322
reference_86,2.6110304268273445,3.426461038128503,3.5037827560943264,3.451647893244706,3.5062886619733624,3.533443281809136,3.716210341592771,3.633226834320358,3.4432309875480103,3.62429753869384,3.3487637375940706
reference_87,2.544337076733854,3.470470570905555,3.2878196651325893,3.3130199956007127,3.288839408550248,3.327798958449857,3.6403750816249847,3.400361640971739,3.2458384036738925,3.4272026092137873,3.1191607805153403
reference_88,2.7459186128097155,3.410671001067868,3.307584325537864,3.2328067276235903,3.124427003463343,3.174749685165613,3.631396988471876,3.4373673571013343,3.2763866861882893,3.5132496512077602,3.1832650781610523
reference_89,2.642535040461731,3.4299953474730804,3.308918088957167,3.2487991256904607,2.995893553610087,3.226087219436074,3.648257000831795,3.2022466544349677,3.320451978657544,3.4277670392847064,3.215237143013829
reference_90,2.789272964830489,3.483107693124317,3.3562234061798426,3.3690350347139986,3.299755964847942,3.149574859811225,3.582362290305994,3.412488049598567,3.246762512576346,3.483358873628877,3.2034087994723377
reference_91,2.899562851148998,3.4344897699816768,3.360892892724602,3.3699628430388877,3.4739750822137156,3.147112878266696,3.560904695904805,3.5336162614756415,3.2768691001414614,3.462185165995739,3.201113803141868
reference_92,3.310260851960755,3.5084585453784602,3.3559694545300007,3.3811165956779483,3.5607416605109217,2.5604390856532215,3.6735557136692045,3.5098184064507487,3.3753360840404985,3.0036584838868143,3.2639109114854863
reference_93,3.634251596244937,3.881155425620629,3.693320891287743,3.7194150584166983,3.87663328533461,3.7867983673024055,4.01961541447156,3.1944013593961857,3.36146371417966,3.7594877970248186,3.6480063206538675
reference_94,2.691113864356994,3.214472927536607,3.12603340509075,3.048139101340819,2.9939735479050165,3.252876519817115,3.485423074878645,2.9988607644748693,3.048553185803318,3.31107484975648,3.0303104024170056
reference_95,3.343910427274863,3.5933071097771045,3.5380727652287676,2.9588527442250707,3.418013189884265,3.499112098731797,3.8242991205049663,3.385555747480434,3.5278972162286477,3.591061729867016,3.359942725738601
reference_96,3.3554238429680034,3.210724601238132,3.4140561962473575,3.400639930828467,3.3040773202668676,3.594940261116648,3.8487731686064532,3.251496306903888,3.464681482504563,3.5841644972725297,3.388390427791161
reference_97,3.100333477644896,3.422268362126932,3.3139667838193874,3.148285963308397,3.2000124036610123,3.430753795323633,3.66789687518302,3.1991842945010234,3.210299816380424,3.451902353931526,3.182403534840131
reference_98,3.110625014459783,3.4836281091409567,3.4106293936209986,3.2832406839084842,3.416154295457426,3.1334200020659306,3.677487694115213,3.415462217134847,3.397672292654315,3.4768098721411653,3.22598866937635
reference_99,3.0164656905793628,3.3509197779501134,3.3010862413833726,3.042726188387068,2.7295050029517984,3.3557281626599216,3.6089488932061675,2.8578472143318883,3.190068208237631,3.427242501530626,3.1771651624620834
reference_100,2.974418310453797,3.509628640167265,3.4440743261945728,3.3334769563875204,3.474763003809691,3.073766659590185,3.7263568691482547,3.531337030351639,3.3425934506627564,3.1593859926171306,3.269740245438069
reference_101,2.5746291075125316,3.0945239743696495,3.039856533550939,2.987995864406778,3.132804176701449,3.154393248622055,3.3534999893689554,3.2438082935170005,2.9983595100601197,3.261769098904535,2.971804401520786
reference_102,2.7236375056514603,3.2811875380946796,3.120030130588354,3.281756654083309,3.405181967020344,3.1438231348934154,3.3760115901923213,3.4360887153722923,3.031813871534259,3.12710022615835,3.1186434032256556
reference_103,3.3326675815161466,3.540182598204761,3.519197759821415,3.4158921475667956,3.562502626554012,3.5656054454069137,3.764324200578451,3.6163872240508077,3.4842980982556346,3.5462366630434987,3.3590819622880366
reference_104,3.673156917417765,3.8875102761294107,3.715124319217503,3.7232531122131345,3.860419980815649,3.90586118611176,4.195834002759504,3.5430828158926966,3.8364834336291787,3.9354010120296476,3.7351385100225074
reference_105,3.204804112605571,3.6725313044460366,3.4686324566137796,3.5383173449990752,3.659984141794396,3.4865250565043455,3.724460763884545,3.649914073504639,3.4616473613706717,3.4597435568052775,3.4895397521794163
reference_106,3.0795440239397553,3.3209585258553833,2.8222895308580886,3.2722587702412986,3.4207129456958176,3.243054022020414,3.5020246268510205,3.4660380439550726,3.135468979494858,3.2803148112382883,3.130583998658874
reference_107,3.3515625806282046,3.5655855971249473,3.3004708085050583,3.394757149945664,3.612928503547907,3.469676389515996,3.691111246006012,3.594456507392359,3.054166022045553,3.5103779008506777,3.337577882447064
reference_108,3.370713393751145,3.6469519252985023,3.4788900838193295,3.4447018856921194,3.627385543787718,3.4842715605204106,3.7209268825912476,3.6419707445189475,3.502709649551064,3.619128848643327,3.455103788437723
reference_109,3.099524178785325,3.347537690029492,3.1896844688296317,3.201279139005661,3.340014298037529,3.316570152647853,3.5604054716415408,3.2877887985778806,3.239662712907583,3.393453880400562,3.132818294902872
reference_110,3.985045138314629,4.105943267961475,4.068015283121288,3.926214797760868,4.12545941366434,4.131733813688338,4.352430519224406,4.177247975960373,4.024174825968504,4.2258355131952285,3.9517351638170672
reference_111,3.0260432103024635,3.546723817508408,3.368049690142494,3.307240409819607,3.2670101901092083,3.400809144083874,3.5916235029025865,2.5002811437002452,3.162044447999171,3.4387942268183394,3.3172586425854496
reference_112,2.7451270946197157,3.3771828431344826,3.3757889710799334,3.224026595687683,2.9998328841259694,3.3010057044750267,3.5429160581412598,3.237982804523885,3.271405574458593,3.3515717563450975,3.227887433223371
reference_113,2.853300144409632,3.4118781367528905,3.0626970117428427,3.073684367021906,2.496416488628108,3.414871753810948,3.7356440167854332,3.0737201826470284,3.322901334468036,3.465181354317676,3.1637434224809575
reference_114,3.1430144365869657,3.532259592131761,3.278855209582432,3.3546461988309315,3.496196001078498,3.011504726818269,3.478005146872607,3.4834703356006904,3.1637244955549724,3.2095937279508737,3.211625438947367
reference_115,2.9940548663895883,3.5805050831979393,3.134117450485055,3.4673685894428923,3.283967643736241,3.3818372061248607,3.8159657543835923,3.5977596082296364,3.369251885118566,3.5224867995048843,3.300492661554862
reference_116,3.368605386107037,3.6311894060630445,3.5267734713863645,3.4815527329752745,3.6505021118323766,3.6945653309174857,3.804318669824984,3.6371069796696114,3.49661010328998,3.709239400201692,3.4870719659253226
reference_117,2.7919076525688173,3.071283938646283,3.319413457087946,3.3330599488560675,3.4165069957705736,3.092129986537063,3.6266415272614956,3.507259703407288,3.2726778186757564,3.3809603304748537,3.1975503913246794
reference_118,2.6923645927619937,3.550817759149161,3.5398195172055957,3.3897968308200834,2.916166749756432,3.5274092427815793,3.7965516910922528,3.7028995028085707,3.328566743527472,3.6031732073608875,3.434681052647873
reference_119,3.149373685426473,3.351569566068765,3.0958532851699596,3.3177390951618198,3.443622114342189,3.2868163458435182,3.5136140813083654,3.4659234203289038,3.134144473363817,3.257443151140023,3.2145541582548947
reference_120,3.330824635173083,3.228279565068228,3.563786737733722,3.580475582797289,3.5971632434678074,3.515165875141144,3.812361628264189,3.7420903471186637,3.5286459440360662,3.563198246117067,3.3566634953854355
reference_121,3.271636719806539,3.498853329196551,3.420200041267283,3.3839506674307778,3.5042825174756085,3.42788711292407,3.7529310272318983,3.4701345050374584,3.332230148933505,3.5225174244657587,3.2697476209125975
reference_122,3.4660706099265193,3.77741872698369,3.536791549890673,3.471127031206423,3.507801142885127,3.3231810043138608,3.8549652222749176,3.5025343753022473,3.509203175109906,3.6478317061615515,3.525357394507825
reference_123,3.1543321677621217,3.6322991176862316,3.4417992896604557,3.3684240735526068,3.1836636772714053,3.5653496745558946,3.840922392389884,3.2775050048744667,3.2930461585423867,3.6485116467509435,3.4621973185962385
reference_124,3.228493187523973,3.5580822966191397,2.943469154446015,3.4474860075693012,3.569041399325747,2.9451924473956326,3.144832459436588,3.5523085953913704,3.1001650692033405,2.2726340921964603,3.309799137000106
reference_125,3.3451017370708946,3.655792409353418,3.0110400017999766,3.3137507190669058,3.6249998032957076,2.8937661206301213,3.013014864910555,2.746521434129906,3.342784958875984,2.928017878074646,3.427125018574749
reference_126,3.2950653212890626,3.5825805981956917,2.9326243685216906,3.4330184757001163,3.6200063676424024,2.792547091088474,2.935096928280115,3.4209505345018387,3.329336784168184,2.756634183227539,3.2516633886760693
reference_127,2.9097033271676613,3.418576068129799,3.230256942971312,3.1639970290693107,3.060178606184898,2.9754447730689653,3.4402686161480593,2.9936988187651203,3.036570888594211,3.0956706391242923,3.214194379766248
reference_128,3.2595727343012024,3.452119998143549,3.2329131629383543,3.378286889881655,3.5676975429516316,3.032091464968505,3.469494134582239,3.4020168008255105,3.040794080612121,2.918937229996878,3.325186509640774
reference_129,3.2164997279746204,3.411403210021595,2.812295074246754,3.3950578194101304,3.5225799144623005,3.0047311123187694,3.348384539441344,3.344378242264031,3.2137662337511017,3.2427482028478734,3.210109035628314
reference_130,3.472844967226255,3.5875411090797207,3.593674194788933,3.5599962999218104,3.687813802692771,3.6223072721498015,3.707707620110214,3.449343514077258,3.5473454424273374,3.686393137774277,3.5492862054551235
reference_131,3.2730802923295568,3.48138745718154,3.098335948031758,3.0002635374428825,3.5667411658311674,3.4921478060326847,3.679212124986146,3.54216714374031,3.2203753545696574,3.527433261359479,3.313717353643649
reference_132,3.156794436311681,3.4157428895607653,3.327331471163611,3.3799916482083487,3.4745702200401674,3.2672888233160284,3.574702237585559,3.5054194371745706,3.0406152642585575,3.3894176985383164,3.1730465497763403
reference_133,3.1738289853441235,3.528601802336389,3.365718026756001,3.1073970864651685,3.1922099840799096,3.3575563421067955,3.601243765765071,3.164885514422608,3.262365317796171,3.367300374679661,3.2081924098752577
reference_134,3.199790616859246,3.5121174415948406,3.13873452311635,3.436333232732296,3.556004135897756,3.3348205519403815,3.5872113069847225,3.42544092797637,3.138597739364535,3.4360076964571356,3.2773192320518802
reference_135,3.171973495785713,3.2043241843975405,3.402977947614682,3.4403950825688843,3.5843632879900937,3.494787437281037,3.6366109718786004,3.6146966234014513,3.388900608704853,3.483458509168244,3.2622779157466852
reference_136,3.6362560094192298,3.9808579892878124,3.6485996450365974,3.823846774458767,3.9235974762422496,3.64970873615671,3.9299591645303886,3.912140836851948,3.756175076490684,3.556977631834308,3.6965876074026527
reference_137,2.56784332053775,3.3840878483766414,3.2189138300238196,3.2601737613959902,2.9755822055473695,3.0963990794903538,3.511673362847506,3.4289515618821476,2.9567614059661,3.161755922242964,3.1175365844592346
reference_138,3.34447984909277,3.494435193008278,3.4039937448270323,3.306707919611335,3.3998404374461173,3.4970906324968336,3.6602287187740803,3.531402725449943,3.35300593678841,3.562587423993874,3.3613803979159145
reference_139,3.1667524740662105,3.2701607446792322,3.3137497433273793,3.458689640173817,3.555046679338932,3.433738634250188,3.686129623382568,3.4820238085623743,3.3244172834518433,3.5244280764956475,3.345424237884383
reference_140,2.9860246141418942,3.2174568115147655,3.2088956156789306,3.006493182079544,3.03383709913094,2.951058926850071,3.530785807149447,3.051450999315487,3.128349096162944,3.3362646090938592,3.060817965322979
