paper_title,"Better Arabic Parsing: Baselines, Evaluations, and Analysis"
Syntactic Ambiguity in Arabic.,"Two common cases are the attribu tive adjective and the process nominal _; maSdar, which can have a verbal reading.4 At tributive adjectives are hard because they are or- thographically identical to nominals; they are inflected for gender, number, case, and definiteness."
Syntactic Ambiguity in Arabic.,"Moreover, they are used as substantives much 2 Unlike machine translation, constituency parsing is not significantly affected by variable word order."
Syntactic Ambiguity in Arabic.,"However, when grammatical relations like subject and object are evaluated, parsing performance drops considerably (Green et al., 2009)."
Syntactic Ambiguity in Arabic.,"In particular, the decision to represent arguments in verb- initial clauses as VP internal makes VSO and VOS configurations difficult to distinguish."
Syntactic Ambiguity in Arabic.,Topicalization of NP subjects in SVO configurations causes confusion with VO (pro-drop).
Syntactic Ambiguity in Arabic.,"3 Techniques for automatic vocalization have been studied (Zitouni et al., 2006; Habash and Rambow, 2007)."
Syntactic Ambiguity in Arabic.,"However, the data sparsity induced by vocalization makes it difficult to train statistical models on corpora of the size of the ATB, so vocalizing and then parsing may well not help performance."
Syntactic Ambiguity in Arabic.,"4 Traditional Arabic linguistic theory treats both of these types as subcategories of noun � '.i . Figure 1: The Stanford parser (Klein and Manning, 2002) is unable to recover the verbal reading of the unvocalized surface form 0 an (Table 1)."
Syntactic Ambiguity in Arabic.,more frequently than is done in English.
Syntactic Ambiguity in Arabic.,Process nominals name the action of the transitive or ditransitive verb from which they derive.
Syntactic Ambiguity in Arabic.,"The verbal reading arises when the maSdar has an NP argument which, in vocalized text, is marked in the accusative case."
Syntactic Ambiguity in Arabic.,"When the maSdar lacks a determiner, the constituent as a whole resem bles the ubiquitous annexation construct � ?f iDafa."
Syntactic Ambiguity in Arabic.,"Gabbard and Kulick (2008) show that there is significant attachment ambiguity associated with iDafa, which occurs in 84.3% of the trees in our development set."
Syntactic Ambiguity in Arabic.,Figure 4 shows a constituent headed by a process nominal with an embedded adjective phrase.
Syntactic Ambiguity in Arabic.,All three models evaluated in this paper incorrectly analyze the constituent as iDafa; none of the models attach the attributive adjectives properly.
Syntactic Ambiguity in Arabic.,"For parsing, the most challenging form of ambiguity occurs at the discourse level."
Syntactic Ambiguity in Arabic.,"A defining characteristic of MSA is the prevalence of discourse markers to connect and subordinate words and phrases (Ryding, 2005)."
Syntactic Ambiguity in Arabic.,"Instead of offsetting new topics with punctuation, writers of MSA in sert connectives such as � wa and � fa to link new elements to both preceding clauses and the text as a whole."
Syntactic Ambiguity in Arabic.,"As a result, Arabic sentences are usually long relative to English, especially after Length English (WSJ) Arabic (ATB) ≤ 20 41.9% 33.7% ≤ 40 92.4% 73.2% ≤ 63 99.7% 92.6% ≤ 70 99.9% 94.9% Table 2: Frequency distribution for sentence lengths in the WSJ (sections 2–23) and the ATB (p1–3)."
Syntactic Ambiguity in Arabic.,English parsing evaluations usually report results on sentences up to length 40.
Syntactic Ambiguity in Arabic.,Arabic sentences of up to length 63 would need to be.
Syntactic Ambiguity in Arabic.,evaluated to account for the same fraction of the data.
Syntactic Ambiguity in Arabic.,We propose a limit of 70 words for Arabic parsing evaluations.
Syntactic Ambiguity in Arabic.,ATB CTB6 Negra WSJ Trees 23449 28278 20602 43948 Word Typess 40972 45245 51272 46348 Tokens 738654 782541 355096 1046829 Tags 32 34 499 45 Phrasal Cats 22 26 325 27 Test OOV 16.8% 22.2% 30.5% 13.2% Per Sentence Table 4: Gross statistics for several different treebanks.
Syntactic Ambiguity in Arabic.,"Test set OOV rate is computed using the following splits: ATB (Chiang et al., 2006); CTB6 (Huang and Harper, 2009); Negra (Dubey and Keller, 2003); English, sections 221 (train) and section 23 (test)."
Syntactic Ambiguity in Arabic.,Table 3: Dev set frequencies for the two most significant discourse markers in Arabic are skewed toward analysis as a conjunction.
Syntactic Ambiguity in Arabic.,segmentation (Table 2).
Syntactic Ambiguity in Arabic.,The ATB gives several different analyses to these words to indicate different types of coordination.
Syntactic Ambiguity in Arabic.,But it conflates the coordinating and discourse separator functions of wa (<..4.b � �) into one analysis: conjunction(Table 3).
Syntactic Ambiguity in Arabic.,"A better approach would be to distin guish between these cases, possibly by drawing on the vast linguistic work on Arabic connectives (AlBatal, 1990)."
Syntactic Ambiguity in Arabic.,We show that noun-noun vs. discourse-level coordination ambiguity in Arabic is a significant source of parsing errors (Table 8c).
Treebank Comparison.,3.1 Gross Statistics.
Treebank Comparison.,Linguistic intuitions like those in the previous section inform language-specific annotation choices.
Treebank Comparison.,The resulting structural differences between tree- banks can account for relative differences in parsing performance.
Treebank Comparison.,"We compared the ATB5 to tree- banks for Chinese (CTB6), German (Negra), and English (WSJ) (Table 4)."
Treebank Comparison.,"The ATB is disadvantaged by having fewer trees with longer average 5 LDC A-E catalog numbers: LDC2008E61 (ATBp1v4), LDC2008E62 (ATBp2v3), and LDC2008E22 (ATBp3v3.1)."
Treebank Comparison.,We map the ATB morphological analyses to the shortened “Bies” tags for all experiments.
Treebank Comparison.,"yields.6 But to its great advantage, it has a high ratio of non-terminals/terminals (μ Constituents / μ Length)."
Treebank Comparison.,"Evalb, the standard parsing metric, is biased toward such corpora (Sampson and Babarczy, 2003)."
Treebank Comparison.,Also surprising is the low test set OOV rate given the possibility of morphological variation in Arabic.
Treebank Comparison.,"In general, several gross corpus statistics favor the ATB, so other factors must contribute to parsing underperformance."
Treebank Comparison.,3.2 Inter-annotator Agreement.
Treebank Comparison.,Annotation consistency is important in any supervised learning task.
Treebank Comparison.,"In the initial release of the ATB, inter-annotator agreement was inferior to other LDC treebanks (Maamouri et al., 2008)."
Treebank Comparison.,"To improve agreement during the revision process, a dual-blind evaluation was performed in which 10% of the data was annotated by independent teams."
Treebank Comparison.,Maamouri et al.
Treebank Comparison.,"(2008) reported agreement between the teams (measured with Evalb) at 93.8% F1, the level of the CTB."
Treebank Comparison.,But Rehbein and van Genabith (2007) showed that Evalb should not be used as an indication of real difference— or similarity—between treebanks.
Treebank Comparison.,"Instead, we extend the variation n-gram method of Dickinson (2005) to compare annotation error rates in the WSJ and ATB."
Treebank Comparison.,"For a corpus C, let M be the set of tuples ∗n, l), where n is an n-gram with bracketing label l. If any n appears 6 Generative parsing performance is known to deteriorate with sentence length."
Treebank Comparison.,"As a result, Habash et al."
Treebank Comparison.,(2006) developed a technique for splitting and chunking long sentences.
Treebank Comparison.,"In application settings, this may be a profitable strategy."
Treebank Comparison.,NN � .e NP NNP NP DTNNP NN � .e NP NP NNP NP Table 5: Evaluation of 100 randomly sampled variation nuclei types.
Treebank Comparison.,The samples from each corpus were independently evaluated.
Treebank Comparison.,"The ATB has a much higher fraction of nuclei per tree, and a higher type-level error rate."
Treebank Comparison.,"summit Sharm (a) Al-Sheikh summit Sharm (b) DTNNP Al-Sheikh in a corpus position without a bracketing label, then we also add ∗n, NIL) to M. We call the set of unique n-grams with multiple labels in M the variation nuclei of C. Bracketing variation can result from either annotation errors or linguistic ambiguity."
Treebank Comparison.,Human evaluation is one way to distinguish between the two cases.
Treebank Comparison.,"Following Dickinson (2005), we randomly sampled 100 variation nuclei from each corpus and evaluated each sample for the presence of an annotation error."
Treebank Comparison.,"The human evaluators were a non-native, fluent Arabic speaker (the first author) for the ATB and a native English speaker for the WSJ.7 Table 5 shows type- and token-level error rates for each corpus."
Treebank Comparison.,"The 95% confidence intervals for type-level errors are (5580, 9440) for the ATB and (1400, 4610) for the WSJ."
Treebank Comparison.,"The results clearly indicate increased variation in the ATB relative to the WSJ, but care should be taken in assessing the magnitude of the difference."
Treebank Comparison.,"On the one hand, the type-level error rate is not calibrated for the number of n-grams in the sample."
Treebank Comparison.,"At the same time, the n-gram error rate is sensitive to samples with extreme n-gram counts."
Treebank Comparison.,"For example, one of the ATB samples was the determiner -"""" ; dhalik“that.” The sample occurred in 1507 corpus po sitions, and we found that the annotations were consistent."
Treebank Comparison.,"If we remove this sample from the evaluation, then the ATB type-level error rises to only 37.4% while the n-gram error rate increases to 6.24%."
Treebank Comparison.,The number of ATB n-grams also falls below the WSJ sample size as the largest WSJ sample appeared in only 162 corpus positions.
Treebank Comparison.,"7 Unlike Dickinson (2005), we strip traces and only con-."
Treebank Comparison.,Figure 2: An ATB sample from the human evaluation.
Treebank Comparison.,The ATB annotation guidelines specify that proper nouns should be specified with a flat NP (a).
Treebank Comparison.,"But the city name Sharm Al- Sheikh is also iDafa, hence the possibility for the incorrect annotation in (b)."
Grammar Development.,We can use the preceding linguistic and annotation insights to build a manually annotated Arabic grammar in the manner of Klein and Manning (2003).
Grammar Development.,Manual annotation results in human in- terpretable grammars that can inform future tree- bank annotation decisions.
Grammar Development.,A simple lexicalized PCFG with second order Markovization gives relatively poor performance: 75.95% F1 on the test set.8 But this figure is surprisingly competitive with a recent state-of-the-art baseline (Table 7).
Grammar Development.,"In our grammar, features are realized as annotations to basic category labels."
Grammar Development.,We start with noun features since written Arabic contains a very high proportion of NPs.
Grammar Development.,genitiveMark indicates recursive NPs with a indefinite nominal left daughter and an NP right daughter.
Grammar Development.,This is the form of recursive levels in iDafa constructs.
Grammar Development.,"We also add an annotation for one-level iDafa (oneLevelIdafa) constructs since they make up more than 75% of the iDafa NPs in the ATB (Gabbard and Kulick, 2008)."
Grammar Development.,"For all other recursive NPs, we add a common annotation to the POS tag of the head (recursiveNPHead)."
Grammar Development.,Base NPs are the other significant category of nominal phrases.
Grammar Development.,markBaseNP indicates these non-recursive nominal phrases.
Grammar Development.,"This feature includes named entities, which the ATB marks with a flat NP node dominating an arbitrary number of NNP pre-terminal daughters (Figure 2)."
Grammar Development.,For verbs we add two features.
Grammar Development.,"First we mark any node that dominates (at any level) a verb sider POS tags when pre-terminals are the only intervening nodes between the nucleus and its bracketing (e.g., unaries, base NPs)."
Grammar Development.,"Since our objective is to compare distributions of bracketing discrepancies, we do not use heuristics to prune the set of nuclei."
Grammar Development.,8 We use head-finding rules specified by a native speaker.
Grammar Development.,of Arabic.
Grammar Development.,"This PCFG is incorporated into the Stanford Parser, a factored model that chooses a 1-best parse from the product of constituency and dependency parses."
Grammar Development.,termined by the category of the word that follows it.
Grammar Development.,"Because conjunctions are elevated in the parse trees when they separate recursive constituents, we choose the right sister instead of the category of the next word."
Grammar Development.,"We create equivalence classes for verb, noun, and adjective POS categories."
Standard Parsing Experiments.,Table 6: Incremental dev set results for the manually annotated grammar (sentences of length ≤ 70).
Standard Parsing Experiments.,phrase (markContainsVerb).
Standard Parsing Experiments.,This feature has a linguistic justification.
Standard Parsing Experiments.,"Historically, Arabic grammar has identified two sentences types: those that begin with a nominal (� '.i �u _.."
Standard Parsing Experiments.,"), and thosethat begin with a verb (� ub..i �u _.."
Standard Parsing Experiments.,But for eign learners are often surprised by the verbless predications that are frequently used in Arabic.
Standard Parsing Experiments.,"Although these are technically nominal, they have become known as “equational” sentences."
Standard Parsing Experiments.,mark- ContainsVerb is especially effective for distinguishing root S nodes of equational sentences.
Standard Parsing Experiments.,We also mark all nodes that dominate an SVO configuration (containsSVO).
Standard Parsing Experiments.,"In MSA, SVO usually appears in non-matrix clauses."
Standard Parsing Experiments.,Lexicalizing several POS tags improves performance.
Standard Parsing Experiments.,splitIN captures the verb/preposition idioms that are widespread in Arabic.
Standard Parsing Experiments.,"Although this feature helps, we encounter one consequence of variable word order."
Standard Parsing Experiments.,"Unlike the WSJ corpus which has a high frequency of rules like VP →VB PP, Arabic verb phrases usually have lexi calized intervening nodes (e.g., NP subjects and direct objects)."
Standard Parsing Experiments.,"For example, we might have VP → VB NP PP, where the NP is the subject."
Standard Parsing Experiments.,This annotation choice weakens splitIN.
Standard Parsing Experiments.,"We compare the manually annotated grammar, which we incorporate into the Stanford parser, to both the Berkeley (Petrov et al., 2006) and Bikel (Bikel, 2004) parsers."
Standard Parsing Experiments.,All experiments use ATB parts 1–3 divided according to the canonical split suggested by Chiang et al.
Standard Parsing Experiments.,(2006).
Standard Parsing Experiments.,"Preprocessing the raw trees improves parsing performance considerably.9 We first discard all trees dominated by X, which indicates errors and non-linguistic text."
Standard Parsing Experiments.,"At the phrasal level, we remove all function tags and traces."
Standard Parsing Experiments.,We also collapse unary chains withidentical basic categories like NP → NP.
Standard Parsing Experiments.,The pre terminal morphological analyses are mapped to the shortened “Bies” tags provided with the tree- bank.
Standard Parsing Experiments.,"Finally, we add “DT” to the tags for definite nouns and adjectives (Kulick et al., 2006)."
Standard Parsing Experiments.,"The orthographic normalization strategy we use is simple.10 In addition to removing all diacritics, we strip instances of taTweel J=J4.i, collapse variants of alif to bare alif,11 and map Ara bic punctuation characters to their Latin equivalents."
Standard Parsing Experiments.,"We retain segmentation markers—which are consistent only in the vocalized section of the treebank—to differentiate between e.g. � “they” and � + “their.” Because we use the vocalized section, we must remove null pronoun markers."
Standard Parsing Experiments.,In Table 7 we give results for several evaluation metrics.
Standard Parsing Experiments.,Evalb is a Java re-implementation of the standard labeled precision/recall metric.12 The ATB gives all punctuation a single tag.
Standard Parsing Experiments.,"For parsing, this is a mistake, especially in the case of interrogatives."
Standard Parsing Experiments.,splitPUNC restores the convention of the WSJ.
Standard Parsing Experiments.,We also mark all tags that dominate a word with the feminine ending :: taa mar buuTa (markFeminine).
Standard Parsing Experiments.,"To differentiate between the coordinating and discourse separator functions of conjunctions (Table 3), we mark each CC with the label of its right sister (splitCC)."
Standard Parsing Experiments.,The intuition here is that the role of a discourse marker can usually be de 9 Both the corpus split and pre-processing code are avail-.
Standard Parsing Experiments.,able at http://nlp.stanford.edu/projects/arabic.shtml.
Standard Parsing Experiments.,"10 Other orthographic normalization schemes have been suggested for Arabic (Habash and Sadat, 2006), but we observe negligible parsing performance differences between these and the simple scheme used in this evaluation."
Standard Parsing Experiments.,11 taTweel (-) is an elongation character used in Arabic script to justify text.
Standard Parsing Experiments.,It has no syntactic function.
Standard Parsing Experiments.,Variants of alif are inconsistently used in Arabic texts.
Standard Parsing Experiments.,"For alif with hamza, normalization can be seen as another level of devocalization."
Standard Parsing Experiments.,"12 For English, our Evalb implementation is identical to the most recent reference (EVALB20080701)."
Standard Parsing Experiments.,For Arabic we M o d e l S y s t e m L e n g t h L e a f A n c e s t o r Co rpu s Sent Exact E v a l b L P LR F1 T a g % B a s e l i n e 7 0 St an for d (v 1.
Standard Parsing Experiments.,6. 3) all G o l d P O S 7 0 0.7 91 0.825 358 0.7 73 0.818 358 0.8 02 0.836 452 80.
Standard Parsing Experiments.,37 79.
Standard Parsing Experiments.,36 79.
Standard Parsing Experiments.,86 78.
Standard Parsing Experiments.,92 77.
Standard Parsing Experiments.,72 78.
Standard Parsing Experiments.,32 81.
Standard Parsing Experiments.,07 80.
Standard Parsing Experiments.,27 80.
Standard Parsing Experiments.,67 95.
Standard Parsing Experiments.,58 95.
Standard Parsing Experiments.,49 99.
Standard Parsing Experiments.,95 B a s e li n e ( S e lf t a g ) 70 a l l B i k e l ( v 1 . 2 ) B a s e l i n e ( P r e t a g ) 7 0 a l l G o l d P O S 70 0.7 70 0.801 278 0.7 52 0.794 278 0.7 71 0.804 295 0.7 52 0.796 295 0.7 75 0.808 309 77.
Standard Parsing Experiments.,92 76.
Standard Parsing Experiments.,00 76.
Standard Parsing Experiments.,95 76.
Standard Parsing Experiments.,96 75.
Standard Parsing Experiments.,01 75.
Standard Parsing Experiments.,97 78.
Standard Parsing Experiments.,35 76.
Standard Parsing Experiments.,72 77.
Standard Parsing Experiments.,52 77.
Standard Parsing Experiments.,31 75.
Standard Parsing Experiments.,64 76.
Standard Parsing Experiments.,47 78.
Standard Parsing Experiments.,83 77.
Standard Parsing Experiments.,18 77.
Standard Parsing Experiments.,99 94.
Standard Parsing Experiments.,64 94.
Standard Parsing Experiments.,63 95.
Standard Parsing Experiments.,68 95.
Standard Parsing Experiments.,68 96.
Standard Parsing Experiments.,"60 ( P e tr o v, 2 0 0 9 ) all B e r k e l e y ( S e p . 0 9 ) B a s e l i n e 7 0 a l l G o l d P O S 70 — — — 0 . 8 0 9 0.839 335 0 . 7 9"
0.834 	336,0 . 8 3 1 0.859 496 76.
0.834 	336,40 75.
0.834 	336,30 75.
0.834 	336,85 82.
0.834 	336,32 81.
0.834 	336,63 81.
0.834 	336,97 81.
0.834 	336,43 80.
0.834 	336,73 81.
0.834 	336,08 84.
0.834 	336,37 84.
0.834 	336,21 84.
0.834 	336,29 — 95.
0.834 	336,07 95.
0.834 	336,02 99.
0.834 	336,87 Table 7: Test set results.
0.834 	336,Maamouri et al.
0.834 	336,"(2009b) evaluated the Bikel parser using the same ATB split, but only reported dev set results with gold POS tags for sentences of length ≤ 40."
0.834 	336,The Bikel GoldPOS configuration only supplies the gold POS tags; it does not force the parser to use them.
0.834 	336,We are unaware of prior results for the Stanford parser.
0.834 	336,F1 85 Berkeley 80 Stanford.
0.834 	336,Bikel 75 training trees 5000 10000 15000 Figure 3: Dev set learning curves for sentence lengths ≤ 70.
0.834 	336,All three curves remain steep at the maximum training set size of 18818 trees.
0.834 	336,"The Leaf Ancestor metric measures the cost of transforming guess trees to the reference (Sampson and Babarczy, 2003)."
0.834 	336,"It was developed in response to the non-terminal/terminal bias of Evalb, but Clegg and Shepherd (2005) showed that it is also a valuable diagnostic tool for trees with complex deep structures such as those found in the ATB."
0.834 	336,"For each terminal, the Leaf Ancestor metric extracts the shortest path to the root."
0.834 	336,It then computes a normalized Levenshtein edit distance between the extracted chain and the reference.
0.834 	336,The range of the score is between 0 and 1 (higher is better).
0.834 	336,"We report micro-averaged (whole corpus) and macro-averaged (per sentence) scores along add a constraint on the removal of punctuation, which has a single tag (PUNC) in the ATB."
0.834 	336,Tokens tagged as PUNC are not discarded unless they consist entirely of punctuation.
0.834 	336,with the number of exactly matching guess trees.
0.834 	336,5.1 Parsing Models.
0.834 	336,The Stanford parser includes both the manually annotated grammar (§4) and an Arabic unknown word model with the following lexical features: 1.
0.834 	336,Presence of the determiner J Al. 2.
0.834 	336,Contains digits.
0.834 	336,3.
0.834 	336,Ends with the feminine affix :: p. 4.
0.834 	336,"Various verbal (e.g., �, .::) and adjectival."
0.834 	336,"suffixes (e.g., �=) Other notable parameters are second order vertical Markovization and marking of unary rules."
0.834 	336,Modifying the Berkeley parser for Arabic is straightforward.
0.834 	336,"After adding a ROOT node to all trees, we train a grammar using six split-and- merge cycles and no Markovization."
0.834 	336,We use the default inference parameters.
0.834 	336,"Because the Bikel parser has been parameter- ized for Arabic by the LDC, we do not change the default model settings."
0.834 	336,"However, when we pre- tag the input—as is recommended for English— we notice a 0.57% F1 improvement."
0.834 	336,We use the log-linear tagger of Toutanova et al.
0.834 	336,"(2003), which gives 96.8% accuracy on the test set."
0.834 	336,5.2 Discussion.
0.834 	336,The Berkeley parser gives state-of-the-art performance for all metrics.
0.834 	336,Our baseline for all sentence lengths is 5.23% F1 higher than the best previous result.
0.834 	336,The difference is due to more careful S-NOM NP NP NP VP VBG :: b NP restoring NP ADJP NN :: b NP NN NP NP ADJP DTJJ ADJP DTJJ NN :: b NP NP NP ADJP ADJP DTJJ J ..i NN :: b NP NP NP ADJP ADJP DTJJ NN _;� NP PRP DTJJ DTJJ J ..i _;� PRP J ..i NN _;� NP PRP DTJJ NN _;� NP PRP DTJJ J ..i role its constructive effective (b) Stanford (c) Berkeley (d) Bik el (a) Reference Figure 4: The constituent Restoring of its constructive and effective role parsed by the three different models (gold segmentation).
0.834 	336,The ATB annotation distinguishes between verbal and nominal readings of maSdar process nominals.
0.834 	336,"Like verbs, maSdar takes arguments and assigns case to its objects, whereas it also demonstrates nominal characteristics by, e.g., taking determiners and heading iDafa (Fassi Fehri, 1993)."
0.834 	336,"In the ATB, :: b asta’adah is tagged 48 times as a noun and 9 times as verbal noun."
0.834 	336,"Consequently, all three parsers prefer the nominal reading."
0.834 	336,Table 8b shows that verbal nouns are the hardest pre-terminal categories to identify.
0.834 	336,None of the models attach the attributive adjectives correctly.
0.834 	336,pre-processing.
0.834 	336,"However, the learning curves in Figure 3 show that the Berkeley parser does not exceed our manual grammar by as wide a margin as has been shown for other languages (Petrov, 2009)."
0.834 	336,"Moreover, the Stanford parser achieves the most exact Leaf Ancestor matches and tagging accuracy that is only 0.1% below the Bikel model, which uses pre-tagged input."
0.834 	336,In Figure 4 we show an example of variation between the parsing models.
0.834 	336,"We include a list of per-category results for selected phrasal labels, POS tags, and dependencies in Table 8."
0.834 	336,"The errors shown are from the Berkeley parser output, but they are representative of the other two parsing models."
0.834 	336,6 Joint Segmentation and Parsing.
0.834 	336,"Although the segmentation requirements for Arabic are not as extreme as those for Chinese, Arabic is written with certain cliticized prepositions, pronouns, and connectives connected to adjacent words."
0.834 	336,"Since these are distinct syntactic units, they are typically segmented."
0.834 	336,The ATB segmentation scheme is one of many alternatives.
0.834 	336,"Until now, all evaluations of Arabic parsing—including the experiments in the previous section—have assumed gold segmentation."
0.834 	336,"But gold segmentation is not available in application settings, so a segmenter and parser are arranged in a pipeline."
0.834 	336,"Segmentation errors cascade into the parsing phase, placing an artificial limit on parsing performance."
0.834 	336,"Lattice parsing (Chappelier et al., 1999) is an alternative to a pipeline that prevents cascading errors by placing all segmentation options into the parse chart."
0.834 	336,"Recently, lattices have been used successfully in the parsing of Hebrew (Tsarfaty, 2006; Cohen and Smith, 2007), a Semitic language with similar properties to Arabic."
0.834 	336,"We extend the Stanford parser to accept pre-generated lattices, where each word is represented as a finite state automaton."
0.834 	336,"To combat the proliferation of parsing edges, we prune the lattices according to a hand-constructed lexicon of 31 clitics listed in the ATB annotation guidelines (Maamouri et al., 2009a)."
0.834 	336,"Formally, for a lexicon L and segments I ∈ L, O ∈/ L, each word automaton accepts the language I∗(O + I)I∗."
0.834 	336,"Aside from adding a simple rule to correct alif deletion caused by the preposition J, no other language-specific processing is performed."
0.834 	336,Our evaluation includes both weighted and un- weighted lattices.
0.834 	336,We weight edges using a unigram language model estimated with Good- Turing smoothing.
0.834 	336,"Despite their simplicity, uni- gram weights have been shown as an effective feature in segmentation models (Dyer, 2009).13 The joint parser/segmenter is compared to a pipeline that uses MADA (v3.0), a state-of-the-art Arabic segmenter, configured to replicate ATB segmentation (Habash and Rambow, 2005)."
0.834 	336,MADA uses an ensemble of SVMs to first re-rank the output of a deterministic morphological analyzer.
0.834 	336,"For each 13 Of course, this weighting makes the PCFG an improper distribution."
0.834 	336,"However, in practice, unknown word models also make the distribution improper."
0.834 	336,"Parent Head Modif er Dir # gold F1 Label # gold F1 NP NP TAG R 946 0.54 ADJP 1216 59.45 S S S R 708 0.57 SBAR 2918 69.81 NP NP ADJ P R 803 0.64 FRAG 254 72.87 NP NP N P R 2907 0.66 VP 5507 78.83 NP NP SBA R R 1035 0.67 S 6579 78.91 NP NP P P R 2713 0.67 PP 7516 80.93 VP TAG P P R 3230 0.80 NP 34025 84.95 NP NP TAG L 805 0.85 ADVP 1093 90.64 VP TAG SBA R R 772 0.86 WHN P 787 96.00 S VP N P L 961 0.87 (a) Major phrasal categories (b) Major POS categories (c) Ten lowest scoring (Collins, 2003)-style dependencies occurring more than 700 times Table 8: Per category performance of the Berkeley parser on sentence lengths ≤ 70 (dev set, gold segmentation)."
0.834 	336,"(a) Of the high frequency phrasal categories, ADJP and SBAR are the hardest to parse."
