paper_title,Discovering Corpus-Specific Word Senses
Applications and future research.,"Our algorithm does not only recognise ambiguity, but can also be used to resolve it, because the features shared by the members of each sense cluster provide strong indication of which reading of an ambiguous word is appropriate given a certain context."
Applications and future research.,"This gives rise to an automatic, unsupervised word sense disambiguation algorithm which is trained on the data to be disambiguated."
Applications and future research.,The ability to map senses into a taxonomy using the class-labelling algorithm can be used to ensure that the sense-distinctions discovered correspond to recognised differences in meaning.
Applications and future research.,This approach to disambiguation combines the benefits of both Yarowsky's (1995) and Schtitze's (1998) approaches.
Applications and future research.,Preliminary observations show that the different neighbours in Table 1 can be used to indicate with great accuracy which of the senses is being used.
Applications and future research.,Off-the-shelf lexical resources are rarely adequate for NLP tasks without being adapted.
Applications and future research.,"They often contain many rare senses, but not the same ones that are relevant for specific domains or corpora."
Applications and future research.,The problem can be addressed by using word sense clustering to attune an existing resource to accurately describe the meanings used in a particular corpus.
Applications and future research.,We prepare an evaluation of our algorithm as applied to the collocation relationships (cf.
Applications and future research.,"section 2), and we plan to evaluate the uses of our clustering algorithm for unsupervised disambiguation more thoroughly."
