ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11
reference_47,3.7593011085177364,3.8217674378881474,3.706918428487762,3.7537272718199257,3.677327357051081,4.384597336784005,3.5391775879896277,3.474115787673901,2.972423595697438,3.4043778476195037,3.3181295440314984,3.4540316299312708
reference_48,4.573578819146354,4.704334984239503,4.404567027816341,4.473798224565984,4.437157254490262,4.991809023119926,4.503466153848043,4.4339134853849105,4.381590194442582,4.36061209417799,4.337944664225377,4.2326835475214715
reference_49,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_50,3.5773128944545904,3.654113521999133,3.3226417343949453,3.4820049544680125,3.3973609014621804,3.9357384153442387,3.4100707069382263,3.3414583998971055,3.227059201013975,3.2700342749473097,3.276742585393232,3.052660818930119
reference_51,3.9694220195078302,3.9272704282446442,3.7782510706762205,3.8956116461736205,3.791376793397658,4.498143072062016,3.5945757251894945,3.7407947936520456,3.5780644722999564,3.7793572714096446,3.7704412484361893,3.6044993675011394
reference_52,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_53,3.5058793795422925,3.504972312382622,3.388347130642572,3.483910464764405,3.426455265533515,4.178347809564829,3.3016731955188456,3.247026599591927,3.2145567536661708,3.268582641323766,3.3274957013332402,3.1615575899513364
reference_54,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_55,3.60647238345556,3.6767531460333713,3.5434056959605567,3.6555076234221255,3.562698096018683,4.270555994749269,3.341744801758735,3.476413807022993,3.2154995905098467,3.4225962725625645,3.417862856166768,3.282521323260381
reference_56,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_57,3.3338124648435383,3.3382149665559817,3.011930997492295,3.208517787351132,3.1084385406429638,3.744045846157074,3.1754370668645615,3.0448274066258163,2.9828224856092853,2.9960327234043014,2.9673280425115465,2.743477195535302
reference_58,3.525790828216177,3.5743887440254447,3.3475123670590654,3.4492850784702305,3.336933795911652,3.903254960249901,3.3346681126285116,3.3761837957446694,3.2304166559021072,3.293152766787506,3.2292982968888095,3.0598524085487724
reference_59,3.4472482138355227,3.4640421224060773,3.231283951154406,3.3193315390805966,3.215938790048262,3.9424498688468934,3.1890385751260095,3.2207539885529295,3.12173036340994,3.176128679926618,3.1818184750213434,2.653388975219727
reference_60,4.36469554338094,4.351231931211005,4.083505196921781,4.189837874499322,4.16304964264858,4.7172506718256475,4.184751123497399,4.199125461410996,4.156179357624556,4.089978956105541,4.020719706866411,3.9975580385423304
reference_61,2.895041383026954,3.0179792405572483,1.9655239585566757,2.520473764805904,2.7235249776407944,4.07524383230233,3.2123379666597507,3.1550192572746996,2.710207085200894,2.2025562475113443,2.513936355444186,2.1706943371559766
reference_62,3.6868592889370206,3.772341016990357,3.5362020512801235,3.5767058922290773,3.5801109534668263,4.2738148035676735,3.5944173463606544,3.4304750384877,3.4367851271380863,3.4915477324315876,3.3978768618672475,3.272537399384995
reference_63,3.344549589764351,3.639784554364288,2.9089671372033457,3.2488556867138416,3.2248182397743683,4.239503097735238,3.3404496706774403,3.397443363823063,3.170499177703759,3.165183580593525,3.0168838175435595,3.1024498297178758
reference_64,3.510988747121629,3.5723061840781676,3.303868008554878,3.389618783783341,3.3204453318522336,4.125152347601652,3.226986255241943,3.3059249712967476,3.19371666386311,3.253149099477563,3.233088909134683,3.082762133078575
reference_65,3.4427922660693504,3.509818968666676,3.2930769098497,3.3981973516017434,3.2992057988913794,4.092812293864776,3.154122018011633,3.2516975017990664,2.812361750329766,3.1177209853699455,3.1790123858895076,3.0271784353709226
reference_66,3.126791008568324,3.148146986073977,2.6742766296784213,2.6723250766158557,2.758390140831269,4.230121337811905,3.370529618316882,3.3004496960109666,3.0172131422423214,2.3268575867891794,2.5317319351509995,2.644900193570071
reference_67,3.281077100692714,3.4057796488558645,2.341600100798542,2.830892837609291,3.0492266982151657,4.220759142144967,3.503678141056622,3.4695450850214957,2.9568797295052627,2.458199607540267,2.9210882474477646,2.4500963458931926
reference_68,3.674170763238218,3.715453702845856,3.5507665551221512,3.327458299957275,3.5558888809543445,4.313952057526302,3.385270751590479,3.4647681995851576,3.068360830077503,3.4769086548854258,3.457248520784537,3.332191794237793
reference_69,2.917510756986104,3.084825383311427,2.9109134631913847,3.040158314096031,2.8290951485398987,4.127388281389034,3.2784962642820283,3.3116217278215747,2.636344205755449,2.6708433917473324,2.702481712363979,2.680957668432822
reference_70,3.5123915426956085,3.5287521960949246,3.29634225103318,3.4489570504994393,3.320822758928335,3.863758093328238,3.2463077533123195,3.3644714666960827,2.9969138499495824,3.285779239168589,3.1927823690506325,3.0848651056725087
reference_71,2.776503421646444,2.817902839022968,2.0866166683073653,2.599847728621416,2.8276594030413493,4.115774509951615,3.3056799615548234,3.3690955098993687,2.886329498967167,2.5896830828178827,2.588001629116668,2.583896723223848
reference_72,3.558273202503653,3.0345520598709483,2.639081343049251,3.4278215684509523,2.980994006204353,4.109930795793653,2.9080797963554854,2.9089644519168427,3.2246593875497833,3.25641943542793,3.1947610335230046,3.0908269626888036
reference_73,3.5388870804600923,3.5397837056375754,3.367189223962312,3.446194625417758,3.371439360789974,3.841743961918831,3.356716612304534,3.180657954502521,3.1993318305552036,3.2655936737609275,3.2298289953321624,3.078304323624373
reference_74,3.235738406261688,3.2310229566957775,3.0101643992553764,3.1356214224918366,3.1027091940361786,3.8982080205249785,2.964717734441214,2.727791771635272,2.866620962548818,2.8550645982817957,2.8786688864928416,2.7191754287540912
reference_75,3.1673375832326127,3.395396292289462,2.4813686534028867,2.7406959771492003,3.018610153499011,4.3191008980074415,3.479782890316951,3.5221462455565735,3.0117700278369686,2.737793678592716,2.7513752663743567,2.815022316011238
reference_76,3.5465984216468827,3.650424117685407,3.476279589839897,3.2542038256093693,3.5077293193320997,4.387124688966622,3.4414608856848155,3.472956955976979,3.0469098011138693,3.347579292109201,3.414892312739237,3.3193527030475067
reference_77,3.700877832259819,3.7435283202276137,3.643305425021617,3.6385415779980663,3.5966543822993895,4.39929439050442,3.5009047253970955,3.479310962996091,3.3829430542391687,3.5128688520660196,3.5197630350453277,3.370806049841881
reference_78,3.904400807631488,3.9559476953209125,3.6557184562785023,3.8857096574584324,3.6930472897035815,4.216312667244973,3.668202939713723,3.6316856547506355,3.578646867889193,3.510570867428963,3.534299534745443,3.4382913021251515
reference_79,3.516301597305213,3.59747145138911,3.429000639533094,3.5537204952022807,3.4248156915666788,4.180297504410517,3.3572977710431156,3.303763809323344,3.1434995524761873,3.2705988883970956,3.2818812615590467,3.1647685390875444
reference_80,3.501811997184851,3.487170019334475,3.1361962993488945,3.373019266697547,3.2479122478925,3.9492774936449444,3.173413467564399,3.0889375652173903,3.110814196724996,3.1057077623663494,3.1241053208758336,2.937985248413521
reference_81,3.655184908200366,3.7541130989386104,3.6022671671250186,3.645713197871671,3.603968237625283,4.353808087433545,3.5534698086905583,3.4647294219738707,3.3590220832800934,3.464808433845629,3.505035881215031,3.3626109991243287
reference_82,3.2813821410798347,3.3984368780791927,3.1752975784461723,3.2945062714335958,3.047968520885404,3.951157473768856,3.273896642660222,3.0872711833240714,2.5571544814583524,2.9440291533187395,3.0497859324426098,2.7909535194434767
reference_83,3.168679030913194,2.6754509021066215,2.5282201049111457,2.680248057892609,2.9246821330916806,3.9449936495056153,3.1859059285465228,3.118379320430278,2.8963808098020762,2.6343480382490814,2.51814191071691,1.7697001237848997
reference_84,3.686302800039728,3.6535678051519076,3.501231610038478,3.627436787373018,3.53611343266588,4.250127000260948,3.3622307894511274,3.5187263447061254,2.977317486586015,3.4618757122361856,3.4042327948959357,3.309437901922451
reference_85,3.5364511331653707,3.680704322989152,3.449577512540054,3.533463408435903,3.356834611675131,4.324266995337795,3.4449172926804854,3.3132848969407553,3.067002835827873,3.1068197235089414,3.2038160767153054,3.0499901310584914
reference_86,3.5892653265784267,3.6022563499096365,3.3930123443887563,3.5143280789622313,3.423874775711996,4.226292888850331,3.2736445069023774,3.3983358305719893,3.241001178279406,3.146032653625234,3.105067899164288,3.1567954187333584
reference_87,3.896192392218753,3.9131834948429414,3.7114735645613823,3.832176628140331,3.7559629397543826,4.443537092247605,3.5949261952836737,3.661245138553649,3.5631695167105835,3.6108868017561355,3.5876510022667354,3.4693800520756244
reference_88,3.467145259113833,3.5308587846960586,3.344766470130595,3.4825729763655433,3.3399336778314668,4.042392117913544,3.1997105592915354,3.3523920299612686,2.987328716748719,3.284650707614092,3.217778945368048,3.0647737736867664
reference_89,3.933153608339158,3.9099739176080304,3.689639080542374,3.8545556027626833,3.7968116155440295,4.406413301748828,3.617082938499096,3.6766616353375277,3.5123181233979515,3.6852210475802023,3.708300692846728,3.5731932115796865
reference_90,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_91,3.603659736204614,3.726514251745396,3.538673986752452,3.667226326115767,3.549046491019766,4.238236464584745,3.3565639060592676,3.535418905212649,3.0155211691729047,3.5075076182693365,3.49560475986325,3.3052081618050106
reference_92,3.6463682843805505,3.741119865904433,3.481172614882009,3.6932561793434626,3.6233347889976963,4.309173043254633,3.487392392076607,3.5356113665041655,3.2291515305571914,3.587251382040544,3.517444588305678,3.3508126673969745
reference_93,3.511184526263671,3.573206440807729,3.323174546234542,3.4345807818553453,3.3134686587679356,3.917558629898071,3.335735189830915,3.353333584977626,3.2110454853654966,3.272592365980613,3.207005188773388,3.0370758773915467
reference_94,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_95,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_96,3.3365389116990247,3.3993208314307823,3.043970005134778,3.1690820125244574,3.084133525412322,3.789615129726612,3.1089692335993413,3.083043074223239,2.9230643737880406,3.0116337229510455,3.011257356144413,2.736909305818172
reference_97,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_98,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_99,3.60604983760682,3.6356097739892874,3.371021704451117,3.5341351483616834,3.442960482050919,4.073031166642427,3.319400884654233,3.4669993601198446,3.090305127960674,3.3948051927196055,3.333495268596845,3.1963366540880203
reference_100,4.509569897371443,4.607508179537144,4.485609669077778,4.577473667601586,4.481795610431487,4.935486046169758,4.338490790541247,4.549540528499433,4.259951622409506,4.480850436401366,4.443475590330107,4.305277121872723
reference_101,3.662586007190288,3.649993754462253,3.5533009822874035,3.6134472762214926,3.5462449325346714,4.171115338875808,3.379242947495453,3.4520841512401343,3.153751168928589,3.399761779588301,3.4279570701490036,3.261503072937495
reference_102,3.5064980015043754,3.5919068642004843,3.482069359254226,3.594281882806442,3.4633753676727497,4.142650293739113,3.292824393862225,3.384676934799474,2.8935592240688863,3.331366371492822,3.3609838548860274,3.2508735015568333
reference_103,3.6411085872351077,3.754680263812725,3.567640219607153,3.6994114598660475,3.611690727824087,4.202847935915232,3.402515841209594,3.4407189716421382,3.2930511109126663,3.5043544122829253,3.4784265141264137,3.3394375820025206
reference_104,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_105,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_106,3.887079529139109,3.7993092227299434,3.5997088067196366,3.803392998120149,3.752094056028961,4.385864410046304,3.5631511137496323,3.542506484689666,3.31336505347469,3.6110359011620052,3.61580839482591,3.444740615950344
reference_107,3.6467181506219943,3.6770903932264782,3.4767139576831285,3.5698124903337485,3.4544185258365254,4.068582399708748,3.2831626512366943,3.4138390868521427,3.1769738940131513,3.373028295884385,3.3879501023510787,3.183167983993471
reference_108,3.5969918493672197,3.573613088850978,3.4540428830868866,3.563317560365183,3.4521697249174697,4.171441472938058,3.304216883701973,3.41554094516455,3.0379646630532795,3.4430471101224147,3.3624704533913845,3.233757630675962
reference_109,3.576545531203767,3.652083479052473,3.53003257403682,3.6526049689744244,3.5203731457562597,4.169364600085803,3.257204938799203,3.4892618925991115,3.174983361411872,3.4670155848476423,3.462459617684351,3.2435450302919526
reference_110,3.362047252894897,3.3587264404106025,3.09220448863,3.23318513144331,3.128905623260382,3.867899908055544,3.0870036154669926,3.106009036488409,3.0133311989534812,3.107758946115025,3.037326472911099,2.838176026189029
reference_111,3.645120944797542,3.6506122675837287,3.468029903078469,3.5894167370309833,3.4948885125852778,4.234708077687979,3.24960100169084,3.4169387049960642,3.2669197740907943,3.4745173176447812,3.450462106634953,3.269864384167075
reference_112,3.5477459233923363,3.298558525843842,3.4383938836385255,3.490707709021974,3.416985581144042,4.203819110649825,3.2982245699432244,3.3868818171671404,3.1600618541614733,3.2932195189880558,3.312539847941942,3.1649307000979183
reference_113,3.6127817904951676,3.5874100339076875,3.4669429361891706,3.4575793430076964,3.3959538092465755,3.99310996185056,3.4538935614891444,3.3634820638065683,3.358646208400452,3.3560524155671314,3.298965166196887,3.100573225677876
reference_114,3.664569868240975,3.765185812689115,3.533113194299614,3.5780196810563605,3.5946257553171495,4.3881900574890125,3.6875580250309477,3.5758431231040366,3.477168020729449,3.4682155932230825,3.514713042127972,3.2386528392625173
reference_115,3.5455449378478856,3.6224293522756126,3.340029158180694,3.4244645831535583,3.366685031671843,4.127390870971441,3.3041648646617148,3.278058653110212,3.2301764349030977,3.3328224566913653,3.2844784872934407,3.0873074425584077
reference_116,3.4584885202993516,3.4809386053400813,3.2959614401111597,3.388256764280382,3.310118761434844,4.129941053180155,3.347471631451016,3.2506526559344624,3.112454881418151,3.1877105492656437,3.2378876323502186,2.915225653781106
