paper_title,Mining New Word Translations from Comparable Corpora
Our approach.,"ranked list of candidate words, associating with each candidate a score estimated by the particular method."
Our approach.,"If a word e in English is indeed the translation of a word c in Chinese, then we would expect e to be ranked very high in both lists in general."
Our approach.,"Specifically, our combination method is as follows: we examine the top M The language modeling approach to IR has been shown to give superior retrieval performance (Ponte & Croft, 98; Ng, 2000), compared with traditional vector space model, and we adopt this approach in our current work."
Our approach.,"To estimate P(Q | D) , we use the approach of (Ng, 2000)."
Our approach.,"We view the document D as a multinomial distribution of terms and assume that words in both lists and finde1 , e2 ,..., ek that ap query Q is generated by this model: pear in top M positions in both lists."
Our approach.,We then n!
Our approach.,"rank these words e1 , e2 ,..., ek according to the P (Q | D ) = ∏ P (t | D ) c t average of their rank positions in the two lists."
Our approach.,"∏ t c t ! t The candidate ei that is ranked the highest according to the average rank is taken to be the cor where t is a term in the corpus, ct is the number rect translation and is output."
Our approach.,"If no words appear within the top M positions in both lists, then no translation is output."
Our approach.,"Since we are using comparable corpora, it is possible that the translation of a new word does not exist in the target corpus."
Our approach.,"In particular, our experiment was conducted on comparable corpora that are not very closely related and as such, most of the Chinese words have no translations of times term t occurs in the query Q , n = ∑t ct is the total number of terms in query Q . For ranking purpose, the first fraction n!"
Our approach.,/ ∏t ct ! can be omitted as this part depends on the query only and thus is the same for all the documents.
Our approach.,in the English target corpus.
Our approach.,"In our translation problem, C(c) is viewed as the query and C(e) is viewed as a document."
Our approach.,So
Translation by context.,"our task is to compute P(C (c) | C (e)) for each In a typical information retrieval (IR) problem, a query is given and a ranked list of documents English word e and find the e that gives the highest P(C (c) | C (e)) , estimated as: most relevant to the query is returned from a document collection."
Translation by context.,"∏ P(tc tc∈C ( c ) | T (C (e)))q (tc ) For our task, the query is C (c) , the context Term tc is a Chinese word."
Translation by context.,"q(tc ) is the number (i.e., the surrounding words) of a Chinese word c . Each C (e) , the context of an English word of occurrenc es of tc in C (c) . Tc (C (e)) is the bag of Chinese words obtained by translating the First, each Chinese character in a Chinese English words in C(e) , as determined by a bi word c is converted to pinyin form."
Translation by context.,Then we sum lingual dictionary.
Translation by context.,"If an English word is ambiguous and has K translated Chinese words listed in the bilingual dictionary, then each of the K trans over all the alignments that this pinyin form of c can map to an English word e. For each possible alignment, we calculate the probability by taking lated Chinese words is counted as occurring 1/K times in Tc (C (e)) for the purpose of probability the product of each mapping."
Translation by context.,"ble of pinyin, api is the ith sylla li is the English letter sequence estimation."
Translation by context.,"We use backoff and linear interpolation for probability estimation: P(tc | Tc (C (e))) = α ⋅ Pml (tc | Tc (C (e))) + (1 −α ) ⋅ Pml (tc ) that the ith pinyin syllable maps to in the particular alignment a. Since most Chinese characters have only one pronunciation and hence one pinyin form, we assume that Chinese character-to-pinyin mapping is one-to-one to simplify the problem."
Translation by context.,We use the Pml (tc | Tc (C (e))) = dT (C (e )) (tc ) ∑dT (C ( e )) (t ) expect ation maxi mizati on (EM) algorit hm to genera te mappi ng proba bilitie s from pinyin syl c t∈Tc (C ( e )) lables to English letter sequences.
Translation by context.,"To reduce the search space, we limit the number of English letters that each pinyin syllable can map to as 0, where Pml (•) are the maximu m likelihood esti 1, or 2."
Translation by context.,Also.
Translation by context.,we do not allow cross mappin gs.
Translation by context.,"mates, dT (C ( e)) (tc ) is the number of occurre nces That is, if an English letter sequenc e e1 precede s of the term tc in Tc (C(e)) , andPml (tc ) is esti another English letter sequence e2 in an English mated similarly by counting the occurrences of word, then the pinyin syllable mapped to e1 tc in the Chinese translation of the whole English corpus."
Translation by context.,α is set to 0.6 in our experiments.
Translation by transliteration.,"must precede the pinyin syllable mapped to e2 . Our method differs from (Knight and Graehl, 1998) and (AlOnaizan and Knight, 2002b) in that our method does not generate candidates but For the transliteration model, we use a modified only estimatesP(e | c) for candidates e appearmodel of (Knight and Graehl, 1998) and (Al ing in the English corpus."
Translation by transliteration.,"Another difference is Onaizan and Knight, 2002b)."
Translation by transliteration.,Knight and Graehl (1998) proposed a probabilistic model for machine transliteration.
Translation by transliteration.,"In this model, a word in the target language (i.e., English in our task) is written and pronounced."
Translation by transliteration.,This pronunciation is converted to source language pronunciation and then to source language word that our method estimates stead of P(c | e) and P(e) .
Experiment.,5.1 Resources.
Experiment.,"P(e | c)directly, in (i.e., Chinese in our task)."
Experiment.,AlOnaizan and Knight (2002b) suggested that pronunciation can be skipped and the target language letters can be mapped directly to source language letters.
Experiment.,Pinyin is the standard Romanization system of Chinese characters.
Experiment.,It is phonetic-based.
Experiment.,"For transliteration, we estimate P(e | c) as follows: P(e | c) = P(e | pinyin) = ∑ P(e, a | pinyin) a For the Chinese corpus, we used the Linguistic Data Consortium (LDC) Chinese Gigaword Corpus from Jan 1995 to Dec 1995."
Experiment.,The corpus of the period Jul to Dec 1995 was used to come up with new Chinese words c for translation into English.
Experiment.,"The corpus of the period Jan to Jun 1995 was just used to determine if a Chinese word c from Jul to Dec 1995 was new, i.e., not occurring from Jan to Jun 1995."
Experiment.,Chinese Giga- word corpus consists of news from two agencies: = ∑∏ P(l a a i | pi ) Xinhua News Agency and Central News Agency.
Experiment.,"As for English corpus, we used the LDC English Gigaword Corpus from Jul to Dec 1995."
Experiment.,"The English Gigaword corpus consists of news from four newswire services: Agence France Press English Service, Associated Press Worldstream English Service, New York Times Newswire Service, and Xinhua News Agency English Service."
Experiment.,"To avoid accidentally using parallel texts, we did not use the texts of Xinhua News Agency them English translation candidate words."
Experiment.,"For a Chinese source word occurring within a half- month period p, we looked for its English translation candidate words occurring in news documents in the same period p. 5.3 Translation candidates."
Experiment.,English Service.
Experiment.,"The size of the English corpus from Jul to Dec The context C(c)of a Chinese word c was col 1995 was about 730M bytes, and the size of the Chinese corpus from Jul to Dec 1995 was about 120M bytes."
Experiment.,"We used a ChineseEnglish dictionary which contained about 10,000 entries for translating the words in the context."
Experiment.,"For the training of transliteration probability, we required a ChineseEnglish name list."
Experiment.,"We used a list of 1,580 ChineseEnglish name pairs as training data for the EM algorithm."
Experiment.,"lected as follows: For each occurrence of c, we set a window of size 50 characters centered at c. We discarded all the Chinese words in the context that were not in the dictionary we used."
Experiment.,"The contexts of all occurrences of a word c were then concatenated together to form C(c) . The context of an English translation candidate word e, C (e) , was similarly collected."
Experiment.,"The window size of English context was 100 words.After all the counts were collected, we esti mated P(C (c) | C (e)) as described in Section 3, 5.2 Preprocessing."
Experiment.,"Unlike English, Chinese text is composed of Chinese characters with no demarcation for words."
Experiment.,"So we first segmented Chinese text with a Chinese word segmenter that was based on maximum entropy modeling (Ng and Low, 2004)."
Experiment.,for each pair of Chinese source word and English translation candidate word.
Experiment.,"For each Chinese source word, we ranked all its English translation candidate words according to the estimated P(C (c) | C (e)) . For each Chinese source word c and an English translation candidate word e , we also calcu We then divided the Chinese corpus from Jul to Dec 1995 into 12 periods, each containing text lated the probability P(e | c) (as described in from a half-month period."
Experiment.,"Then we determined the new Chinese words in each half-month period p. By new Chinese words, we refer to those words that appeared in this period p but not from Jan to Jun 1995 or any other periods that preceded p. Among all these new words, we selected those occurring at least 5 times."
Experiment.,These words made up our test set.
Experiment.,We call these words Chinese source words.
Experiment.,They were the words that we were supposed to find translations from the English corpus.
Experiment.,"For the English corpus, we performed sentence segmentation and converted each word to its morphological root form and to lower case."
Experiment.,"We also divided the English corpus into 12 periods, each containing text from a half-month period."
Experiment.,"For each period, we selected those English words occurring at least 10 times and were not present in the 10,000-word ChineseEnglish dictionary we used and were not stop words."
Experiment.,We considered these English words as potential translations of the Chinese source words.
Experiment.,"We call Section 4), which was used to rank the English candidate words based on transliteration."
Experiment.,"Finally, the English candidate word with the smallest average rank position and that appears within the top M positions of both ranked lists is the chosen English translation (as described in Section 2)."
Experiment.,"If no words appear within the top M positions in both ranked lists, then no translation is output."
Experiment.,"Note that for many Chinese words, only one English word e appeared within the top M positions for both lists."
Experiment.,"And among those cases where more than one English words appeared within the top M positions for both lists, many were multiple translations of a Chinese word."
Experiment.,This happened for example when a Chinese word was a non-English person name.
Experiment.,The name could have multiple translations in English.
Experiment.,"For example, 米 洛西娜 was a Russian name."
Experiment.,Mirochina and Miroshina both appeared in top 10 positions of both lists.
Experiment.,Both were correct.
Experiment.,5.4 Evaluation.
Experiment.,We evaluated our method on each of the 12 half- month periods.
Experiment.,The results when we set M = 10 are shown in Table 1.
Experiment.,We also investigated the effect of varying M . The results are shown in Table 2.
Experiment.,Table 1.
Experiment.,"Accuracy of our system in each period (M = 10) In Table 1, period 1 is Jul 01 – Jul 15, period 2 is Jul 16 – Jul 31, …, period 12 is Dec 16 – Dec 31."
Experiment.,#c is the total number of new Chinese source words in the period.
Experiment.,#e is the total number of English translation candidates in the period.
Experiment.,#o is the total number of output English translations.
Experiment.,#Cor is the number of correct English translations output.
Experiment.,Prec.
Experiment.,is the precision.
Experiment.,The correctness of the English translations was manually checked.
Experiment.,Recall is somewhat difficult to estimate because we do not know whether the English translation of a Chinese word appears in the English part of the corpus.
Experiment.,We attempted to estimate recall by manually finding the English translations for all the Chinese source words for the two periods Dec 01 – Dec 15 and Dec 16 – Dec 31 in the English part of the corpus.
Experiment.,"During the whole December period, we only managed to find English translations which were present in the English side of the comparable corpora for 43 Chinese words."
Experiment.,So we estimate that English translations are present in the English part of the corpus for Table 2.
Experiment.,"Precision and recall for different values of M The past research of (Fung and Yee, 1998; Rapp, 1995; Rapp, 1999) utilized context information alone and was evaluated on different corpora from ours, so it is difficult to directly compare our current results with theirs."
Experiment.,"Similarly, AlOnaizan and Knight (2002a; 2002b) only made use of transliteration information alone and so was not directly comparable."
Experiment.,"To investigate the effect of the two individual sources of information (context and transliteration), we checked how many translations could be found using only one source of information (i.e., context alone or transliteration alone), on those Chinese words that have translations in the English part of the comparable corpus."
Experiment.,"As mentioned earlier, for the month of Dec 1995, there are altogether 43 Chinese words that have their translations in the English part of the corpus."
Experiment.,This list of 43 words is shown in Table 3.
Experiment.,8 of the 43 words are translated to English multi-word phrases (denoted as “phrase” in Table 3).
Experiment.,"Since our method currently only considers unigram English words, we are not able to find translations for these words."
Experiment.,But it is not difficult to extend our method to handle this problem.
Experiment.,We can first use a named entity recognizer and noun phrase chunker to extract English names and noun phrases.
Experiment.,The translations of 6 of the 43 words are words in the dictionary (denoted as “comm.” in Table 3) and 4 of the 43 words appear less than 10 times in the English part of the corpus (denoted as “insuff”).
Experiment.,Our method is not able to find 43 (329 + 205) × 4499 = 362words in all 12 pe these translations.
Experiment.,But this is due to search space riods.
Experiment.,And our program finds correct translations for 115 words.
Experiment.,So we estimate that recall (for M = 10) is approximately 115 / 362 = 31.8% . pruning.
Experiment.,"If we are willing to spend more time on searching, then in principle we can find these translations."
Experiment.,Table 3.
Experiment.,Rank of correct translation for period Dec 01 – Dec 15 and Dec 16 – Dec 31.
Experiment.,‘Cont.
Experiment.,"rank’ is the context rank, ‘Trans."
Experiment.,Rank’ is the transliteration rank.
Experiment.,‘NA’ means the word cannot be transliterated.
Experiment.,‘insuff’ means the correct translation appears less than 10 times in the English part of the comparable corpus.
Experiment.,‘comm’ means the correct translation is a word appearing in the dictionary we used or is a stop word.
Experiment.,‘phrase’ means the correct translation contains multiple English words.
Experiment.,"As shown in Table 3, using just context information alone, 10 Chinese words (the first 10) have their correct English translations at rank one position."
Experiment.,"And using just transliteration information alone, 9 Chinese words have their correct English translations at rank one position."
Experiment.,"On the other hand, using our method of combining both sources of information and setting M = ∞, 19 Chinese words (i.e., the first 22 Chinese words in Table 3 except 巴佐亚,坩埚,普利法) have their correct English translations at rank one position."
Experiment.,"If M = 10, 15 Chinese words (i.e., the first 19 Chinese words in Table 3 except 叶玛斯,巴佐亚,坩埚,普利法) have their correct English translations at rank one position."
Experiment.,"Hence, our method of using both sources of information outperforms using either information source alone."
Related work.,"As pointed out earlier, most previous research only considers either transliteration or context information in determining the translation of a source language word w, but not both sources of information."
Related work.,"For example, the work of (AlOnaizan and Knight, 2002a; AlOnaizan and Knight, 2002b; Knight and Graehl, 1998) used only the pronunciation or spelling of w in translation."
Related work.,"On the other hand, the work of (Cao and Li, 2002; Fung and Yee, 1998; Rapp, 1995; Rapp, 1999) used only the context of w to locate its translation in a second language."
Related work.,"In contrast, our current work attempts to combine both complementary sources of information, yielding higher accuracy than using either source of information alone."
Related work.,"Koehn and Knight (2002) attempted to combine multiple clues, including similar context and spelling."
Related work.,But their similar spelling clue uses the longest common subsequence ratio and works only for cognates (words with a very similar spelling).
Related work.,"The work that is most similar to ours is the recent research of (Huang et al., 2004)."
Related work.,They attempted to improve named entity translation by combining phonetic and semantic information.
Related work.,Their contextual semantic similarity model is different from our language modeling approach to measuring context similarity.
Related work.,"It also made use of part-of-speech tag information, whereas our method is simpler and does not require part-of- speech tagging."
Related work.,"They combined the two sources of information by weighting the two individual scores, whereas we made use of the average rank for combination."
Conclusion.,"In this paper, we proposed a new method to mine new word translations from comparable corpora, by combining context and transliteration information, which are complementary sources of information."
Conclusion.,"We evaluated our approach on six months of Chinese and English Gigaword corpora, with encouraging results."
Acknowledgements,We thank Jia Li for implementing the EM algorithm to train transliteration probabilities.
Acknowledgements,This research is partially supported by a research grant R252000-125112 from National University of Singapore Academic Research Fund.
