paper_title,Named Entity Recognition: A Maximum Entropy Approach Using Global Information
Feature Description.,"However, it is unlikely that other occurrences of News Broadcasting Corp. in the same document also co-occur with Even."
Feature Description.,This group of features attempts to capture such information.
Feature Description.,"For every sequence of initial capitalized words, its longest substring that occurs in the same document as a sequence of initCaps is identified."
Feature Description.,"For this example, since the sequence Even News Broadcasting Corp. only appears once in the document, its longest substring that occurs in the same document is News Broadcasting Corp. In this case, News has an additional feature of I begin set to 1, Broadcasting has an additional feature of I continue set to 1, and Corp. has an additional feature of I end set to 1."
Feature Description.,Unique Occurrences and Zone (UNIQ): This group of features indicates whether the word is unique in the whole document.
Feature Description.,needs to be in initCaps to be considered for this feature.
Feature Description.,"If is unique, then a feature (Unique, Zone) is set to 1, where Zone is the document zone where appears."
Feature Description.,"As we will see from Table 3, not much improvement is derived from this feature."
Experimental Results.,The baseline system in Table 3 refers to the maximum entropy system that uses only local features.
Experimental Results.,"As each global feature group is added to the list of features, we see improvements to both MUC6 and MUC6 MUC7 Baseline 90.75% 85.22% + ICOC 91.50% 86.24% + CSPP 92.89% 86.96% + ACRO 93.04% 86.99% + SOIC 93.25% 87.22% + UNIQ 93.27% 87.24% Table 3: F-measure after successive addition of each global feature group Table 5: Comparison of results for MUC6 Systems MUC6 MUC7 No."
Experimental Results.,of Articles No.
Experimental Results.,of Tokens No.
Experimental Results.,of Articles No.
Experimental Results.,"of Tokens MENERGI 318 160,000 200 180,000 IdentiFinder – 650,000 – 790,000 MENE – – 350 321,000 Table 4: Training Data MUC7 test accuracy.2 For MUC6, the reduction in error due to global features is 27%, and for MUC7,14%."
Experimental Results.,ICOC and CSPP contributed the greatest im provements.
Experimental Results.,The effect of UNIQ is very small on both data sets.
Experimental Results.,All our results are obtained by using only the official training data provided by the MUC conferences.
Experimental Results.,The reason why we did not train with both MUC6 and MUC7 training data at the same time is because the task specifications for the two tasks are not identical.
Experimental Results.,"As can be seen in Table 4, our training data is a lot less than those used by MENE and IdentiFinder3."
Experimental Results.,"In this section, we try to compare our results with those obtained by IdentiFinder ' 97 (Bikel et al., 1997), IdentiFinder ' 99 (Bikel et al., 1999), and MENE (Borthwick, 1999)."
Experimental Results.,"IdentiFinder ' 99' s results are considerably better than IdentiFinder ' 97' s. IdentiFinder' s performance in MUC7 is published in (Miller et al., 1998)."
Experimental Results.,MENE has only been tested on MUC7.
Experimental Results.,"For fair comparison, we have tabulated all results with the size of training data used (Table 5 and Table 6)."
Experimental Results.,"Besides size of training data, the use of dictionaries is another factor that might affect performance."
Experimental Results.,Bikel et al.
Experimental Results.,"(1999) did not report using any dictionaries, but mentioned in a footnote that they have added list membership features, which have helped marginally in certain domains."
Experimental Results.,"Borth 2MUC data can be obtained from the Linguistic Data Consortium: http://www.ldc.upenn.edu 3Training data for IdentiFinder is actually given in words (i.e., 650K & 790K words), rather than tokens Table 6: Comparison of results for MUC7 wick (1999) reported using dictionaries of person first names, corporate names and suffixes, colleges and universities, dates and times, state abbreviations, and world regions."
Experimental Results.,"In MUC6, the best result is achieved by SRA (Krupka, 1995)."
Experimental Results.,"In (Bikel et al., 1997) and (Bikel et al., 1999), performance was plotted against training data size to show how performance improves with training data size."
Experimental Results.,We have estimated the performance of IdentiFinder ' 99 at 200K words of training data from the graphs.
Experimental Results.,"For MUC7, there are also no published results on systems trained on only the official training data of 200 aviation disaster articles."
Experimental Results.,"In fact, training on the official training data is not suitable as the articles in this data set are entirely about aviation disasters, and the test data is about air vehicle launching."
Experimental Results.,Both BBN and NYU have tagged their own data to supplement the official training data.
Experimental Results.,"Even with less training data, MENERGI outperforms Borthwick' s MENE + reference resolution (Borthwick, 1999)."
Experimental Results.,"Except our own and MENE + reference resolution, the results in Table 6 are all official MUC7 results."
Experimental Results.,The effect of a second reference resolution classifier is not entirely the same as that of global features.
Experimental Results.,A secondary reference resolution classifier has information on the class assigned by the primary classifier.
Experimental Results.,Such a classification can be seen as a not-always-correct summary of global features.
Experimental Results.,"The secondary classifier in (Borthwick, 1999) uses information not just from the current article, but also from the whole test corpus, with an additional feature that indicates if the information comes from the same document or from another document."
Experimental Results.,We feel that information from a whole corpus might turn out to be noisy if the documents in the corpus are not of the same genre.
Experimental Results.,"Moreover, if we want to test on a huge test corpus, indexing the whole corpus might prove computationally expensive."
Experimental Results.,Hence we decided to restrict ourselves to only information from the same document.
Experimental Results.,Mikheev et al.
Experimental Results.,(1998) have also used a maximum entropy classifier that uses already tagged entities to help tag other entities.
Experimental Results.,"The overall performance of the LTG system was outstanding, but the system consists of a sequence of many hand-coded rules and machine-learning modules."
Conclusion.,We have shown that the maximum entropy framework is able to use global information directly.
Conclusion.,"This enables us to build a high performance NER without using separate classifiers to take care of global consistency or complex formulation on smoothing and backoff models (Bikel et al., 1997)."
Conclusion.,"Using less training data than other systems, our NER is able to perform as well as other state-of-the-art NERs."
Conclusion.,Information from a sentence is sometimes insufficient to classify a name correctly.
Conclusion.,Global context from the whole document is available and can be exploited in a natural manner with a maximum entropy classifier.
Conclusion.,We believe that the underlying principles of the maximum entropy framework are suitable for exploiting information from diverse sources.
Conclusion.,"Borth- wick (1999) successfully made use of other hand- coded systems as input for his MENE system, and achieved excellent results."
Conclusion.,"However, such an approach requires a number of hand-coded systems, which may not be available in languages other than English."
Conclusion.,"We believe that global context is useful in most languages, as it is a natural tendency for authors to use abbreviations on entities already mentioned previously."
